row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
39,2019-04-14 15:35:59.614115,14.074867487,389,1.000000000e-04,1.047935355e-02,1.047935355e-02,6.486734049e-03,8.504790865e-04
40,2019-04-14 15:36:13.668922,14.054729223,399,1.000000000e-04,9.922826476e-03,9.922826476e-03,6.044900930e-03,4.228561942e-04
41,2019-04-14 15:36:27.723868,14.054948807,409,1.000000000e-04,1.161517613e-02,1.161517613e-02,7.070666226e-03,6.027138646e-04
42,2019-04-14 15:36:41.793566,14.069727659,419,1.000000000e-04,1.205563927e-02,1.205563927e-02,7.165922737e-03,4.649996583e-04
43,2019-04-14 15:36:55.894374,14.100755692,429,1.000000000e-04,1.070512305e-02,1.070512305e-02,6.307021389e-03,3.443343499e-04
44,2019-04-14 15:37:09.986710,14.092404604,439,1.000000000e-04,1.348890997e-02,1.348890997e-02,7.691007992e-03,4.891307020e-04
45,2019-04-14 15:37:24.062829,14.076138020,449,1.000000000e-04,1.067521702e-02,1.067521702e-02,6.427036738e-03,7.636035065e-04
46,2019-04-14 15:37:38.155620,14.092710018,459,1.000000000e-04,1.064420696e-02,1.064420696e-02,6.429832987e-03,7.548808266e-04
47,2019-04-14 15:37:52.240559,14.085031509,469,1.000000000e-04,1.041093050e-02,1.041093050e-02,6.107720104e-03,7.674406283e-04
48,2019-04-14 15:38:06.355250,14.114597797,479,1.000000000e-04,1.136232018e-02,1.136232018e-02,6.534491060e-03,1.029248605e-03
49,2019-04-14 15:38:20.451087,14.095827341,489,1.000000000e-04,1.234518327e-02,1.234518327e-02,7.264880789e-03,1.141148846e-03
50,2019-04-14 15:38:34.520543,14.069456816,499,1.000000000e-04,1.043729391e-02,1.043729391e-02,6.227657082e-03,1.582762349e-03
51,2019-04-14 15:38:48.579205,14.058720827,509,1.000000000e-04,1.060306914e-02,1.060306914e-02,6.380311726e-03,1.089805851e-03
52,2019-04-14 15:39:02.670428,14.091147661,519,1.000000000e-04,1.112341224e-02,1.112341224e-02,6.582903536e-03,1.060170640e-03
53,2019-04-14 15:39:16.747432,14.077050924,529,1.000000000e-04,1.165071828e-02,1.165071828e-02,6.715512602e-03,9.159075387e-04
54,2019-04-14 15:39:30.801786,14.054303169,539,1.000000000e-04,1.374594346e-02,1.374594346e-02,7.817316893e-03,1.039662655e-03
55,2019-04-14 15:39:44.896164,14.094493151,549,1.000000000e-04,1.070970576e-02,1.070970576e-02,6.397610530e-03,9.210727760e-04
56,2019-04-14 15:39:59.003501,14.107254744,559,1.000000000e-04,1.199220023e-02,1.199220023e-02,6.821297389e-03,7.971005340e-04
57,2019-04-14 15:40:13.113432,14.109885216,569,1.000000000e-04,1.303415177e-02,1.303415177e-02,7.297459710e-03,6.095990218e-04
58,2019-04-14 15:40:27.187504,14.074189663,579,1.000000000e-04,1.162818125e-02,1.162818125e-02,6.737537682e-03,1.018733374e-03
59,2019-04-14 15:40:41.272415,14.084840059,589,1.000000000e-04,1.184654334e-02,1.184654334e-02,6.831274601e-03,9.181031579e-04
60,2019-04-14 15:40:55.381961,14.109511137,599,1.000000000e-04,1.138804909e-02,1.138804909e-02,6.566285109e-03,3.872782676e-04
61,2019-04-14 15:41:09.454506,14.072537899,609,1.000000000e-04,1.191819054e-02,1.191819054e-02,7.193981623e-03,9.754043771e-04
62,2019-04-14 15:41:23.532833,14.078430176,619,1.000000000e-04,1.195176523e-02,1.195176523e-02,7.026295597e-03,1.088827581e-03
63,2019-04-14 15:41:37.624047,14.091103315,629,1.000000000e-04,1.159105808e-02,1.159105808e-02,6.673172931e-03,7.060671836e-04
64,2019-04-14 15:41:51.723197,14.099181652,639,1.000000000e-04,1.296502994e-02,1.296502994e-02,7.446146756e-03,1.052199214e-03
65,2019-04-14 15:42:05.822463,14.099230289,649,1.000000000e-04,1.276176693e-02,1.276176693e-02,7.324547693e-03,9.326700529e-04
66,2019-04-14 15:42:19.897683,14.075286865,659,1.000000000e-04,1.051637670e-02,1.051637670e-02,6.035052240e-03,1.029852137e-03
67,2019-04-14 15:42:33.985216,14.087538719,669,1.000000000e-04,1.005165325e-02,1.005165325e-02,6.050998694e-03,1.197262830e-03
68,2019-04-14 15:42:48.085178,14.099869728,679,1.000000000e-04,1.135159652e-02,1.135159652e-02,6.683484511e-03,1.260449470e-03
