row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...,Stable_Motion_Loss,Temporal_Regulari...
1,2019-04-18 08:46:26.947135,0.000067711,9,1.000000000e-04,2.589161387e-02,2.589161387e-02,2.619524729e-02,6.679194514e-02,3.859118065e-02,1.942460230e-02
2,2019-04-18 08:46:41.097893,14.150732279,19,1.000000000e-04,1.915638559e-02,1.915638559e-02,1.938993866e-02,1.989073223e-02,1.212675073e-02,1.128171827e-02
3,2019-04-18 08:46:55.327634,14.229718447,29,1.000000000e-04,1.554990662e-02,1.554990662e-02,1.381862098e-02,7.576117152e-03,1.160140494e-02,6.847611582e-03
4,2019-04-18 08:47:09.575125,14.247507095,39,1.000000000e-04,1.339996625e-02,1.339996625e-02,1.091979598e-02,5.055052484e-03,1.102181631e-02,5.261811102e-03
5,2019-04-18 08:47:23.857700,14.282595873,49,1.000000000e-04,1.316559170e-02,1.316559170e-02,1.052842806e-02,6.057518162e-03,1.400431199e-02,3.222266980e-03
6,2019-04-18 08:47:38.178052,14.320304632,59,1.000000000e-04,1.516355760e-02,1.516355760e-02,1.077211602e-02,5.171154789e-03,1.390477316e-02,2.749348013e-03
7,2019-04-18 08:47:52.436037,14.258021116,69,1.000000000e-04,1.194807081e-02,1.194807081e-02,9.143238515e-03,6.765407417e-03,1.471061995e-02,2.279299777e-03
8,2019-04-18 08:48:06.713169,14.277003288,79,1.000000000e-04,1.314265486e-02,1.314265486e-02,8.916928619e-03,4.612649302e-03,1.110732732e-02,3.016590676e-03
9,2019-04-18 08:48:21.045457,14.332288980,89,1.000000000e-04,9.999159118e-03,9.999159118e-03,7.061987091e-03,3.102204471e-03,7.915270422e-03,2.570385137e-03
10,2019-04-18 08:48:35.373449,14.327979326,99,1.000000000e-04,1.252233302e-02,1.252233302e-02,8.244867064e-03,3.225273709e-03,8.085589716e-03,1.986221329e-03
11,2019-04-18 08:48:49.746849,14.373378515,109,1.000000000e-04,1.112894379e-02,1.112894379e-02,7.701596664e-03,4.406526871e-03,9.191110218e-03,1.953408215e-03
12,2019-04-18 08:49:04.125329,14.378513098,119,1.000000000e-04,1.078722859e-02,1.078722859e-02,6.926916307e-03,2.400369081e-03,6.901990017e-03,1.895113790e-03
13,2019-04-18 08:49:18.471233,14.345898151,129,1.000000000e-04,1.046838192e-02,1.046838192e-02,6.742513273e-03,3.190310241e-03,9.471511422e-03,2.165158093e-03
14,2019-04-18 08:49:32.812902,14.341771364,139,1.000000000e-04,1.206816407e-02,1.206816407e-02,7.912847167e-03,4.670547391e-03,1.024602875e-02,2.258979122e-03
15,2019-04-18 08:49:47.187074,14.374121428,149,1.000000000e-04,1.183483405e-02,1.183483405e-02,7.892162399e-03,5.332855391e-03,8.556445641e-03,1.821986912e-03
16,2019-04-18 08:50:01.539938,14.352823496,159,1.000000000e-04,1.257762997e-02,1.257762997e-02,7.567604445e-03,3.026044229e-03,7.008473901e-03,1.721693785e-03
17,2019-04-18 08:50:15.907632,14.367741823,169,1.000000000e-04,1.324859806e-02,1.324859806e-02,8.085096488e-03,2.872300812e-03,5.921605509e-03,1.741875603e-03
18,2019-04-18 08:50:30.278640,14.370919704,179,1.000000000e-04,1.483892570e-02,1.483892570e-02,9.044611780e-03,4.181430349e-03,9.338486008e-03,1.348494121e-03
19,2019-04-18 08:50:44.675360,14.396826744,189,1.000000000e-04,1.340082590e-02,1.340082590e-02,8.374500927e-03,3.783036466e-03,1.018790281e-02,1.192215353e-03
20,2019-04-18 08:50:59.068986,14.393521309,199,1.000000000e-04,1.030651247e-02,1.030651247e-02,6.464465521e-03,2.817167563e-03,6.986060273e-03,1.228997787e-03
21,2019-04-18 08:51:13.437127,14.368183851,209,1.000000000e-04,1.295249974e-02,1.295249974e-02,7.963378308e-03,2.406550443e-03,5.852455087e-03,1.317892398e-03
22,2019-04-18 08:51:27.844629,14.407526731,219,1.000000000e-04,1.403535097e-02,1.403535097e-02,8.065821859e-03,1.998355496e-03,6.114790426e-03,1.200067287e-03
23,2019-04-18 08:51:42.201048,14.356342554,229,1.000000000e-04,1.248266287e-02,1.248266287e-02,7.355226809e-03,2.235635545e-03,5.624337727e-03,1.002968155e-03
24,2019-04-18 08:51:56.559862,14.358759642,239,1.000000000e-04,1.125292070e-02,1.125292070e-02,6.740394374e-03,2.556579129e-03,5.285426090e-03,1.643967134e-03
25,2019-04-18 08:52:10.907756,14.347908258,249,1.000000000e-04,1.289329669e-02,1.289329669e-02,7.852067100e-03,2.741408022e-03,7.190817734e-03,2.157264738e-03
26,2019-04-18 08:52:25.232207,14.324538469,259,1.000000000e-04,1.190248616e-02,1.190248616e-02,7.269055955e-03,2.657145815e-03,6.622605305e-03,1.784062292e-03
27,2019-04-18 08:52:39.573974,14.341713905,269,1.000000000e-04,1.289831544e-02,1.289831544e-02,7.891367818e-03,3.104147129e-03,7.915077126e-03,2.100456774e-03
28,2019-04-18 08:52:53.924689,14.350682259,279,1.000000000e-04,1.103816498e-02,1.103816498e-02,6.817589607e-03,2.317171486e-03,7.269773399e-03,1.900536893e-03
29,2019-04-18 08:53:08.293341,14.368747950,289,1.000000000e-04,1.100346153e-02,1.100346153e-02,6.544054346e-03,2.429907420e-03,5.513557722e-03,1.801609667e-03
30,2019-04-18 08:53:22.640461,14.347055912,299,1.000000000e-04,1.125973971e-02,1.125973971e-02,6.770903734e-03,2.666195564e-03,6.105832662e-03,2.116963407e-03
31,2019-04-18 08:53:36.968950,14.328474283,309,1.000000000e-04,1.307960646e-02,1.307960646e-02,7.842578739e-03,2.482625353e-03,6.418878771e-03,2.468671463e-03
32,2019-04-18 08:53:51.306346,14.337397337,319,1.000000000e-04,1.025085007e-02,1.025085007e-02,6.407606369e-03,2.145181631e-03,5.063806218e-03,1.799460989e-03
33,2019-04-18 08:54:05.616798,14.310481548,329,1.000000000e-04,1.066988558e-02,1.066988558e-02,6.378251920e-03,1.638226840e-03,4.524476524e-03,1.553589047e-03
34,2019-04-18 08:54:19.986077,14.369245768,339,1.000000000e-04,1.213892945e-02,1.213892945e-02,7.351875165e-03,2.602794301e-03,6.667779945e-03,2.075898240e-03
35,2019-04-18 08:54:34.353954,14.367846251,349,1.000000000e-04,9.933571983e-03,9.933571983e-03,6.298585399e-03,2.043580473e-03,5.084321951e-03,2.253982972e-03
36,2019-04-18 08:54:48.683747,14.329900026,359,1.000000000e-04,1.111360919e-02,1.111360919e-02,6.864866917e-03,1.573765290e-03,5.245445948e-03,2.751890593e-03
37,2019-04-18 08:55:03.044320,14.360477924,369,1.000000000e-04,1.162497876e-02,1.162497876e-02,6.916408101e-03,1.830752555e-03,5.480046477e-03,2.824208746e-03
38,2019-04-18 08:55:17.342816,14.298506260,379,1.000000000e-04,1.056713266e-02,1.056713266e-02,6.536192214e-03,1.645496674e-03,4.690217716e-03,3.278127988e-03
39,2019-04-18 08:55:31.687801,14.345028639,389,1.000000000e-04,1.041360328e-02,1.041360328e-02,6.530665816e-03,2.268517658e-03,5.321843270e-03,2.767374681e-03
40,2019-04-18 08:55:46.131249,14.443434715,399,1.000000000e-04,9.947550856e-03,9.947550856e-03,6.163887214e-03,2.445189591e-03,5.031924904e-03,2.958986489e-03
41,2019-04-18 08:56:00.518679,14.387364626,409,1.000000000e-04,1.174132507e-02,1.174132507e-02,7.225253014e-03,2.743859799e-03,5.058689066e-03,3.998835455e-03
42,2019-04-18 08:56:14.854825,14.336150169,419,1.000000000e-04,1.206240626e-02,1.206240626e-02,7.126959879e-03,1.876071451e-03,4.500076640e-03,3.820259869e-03
43,2019-04-18 08:56:29.205600,14.350831270,429,1.000000000e-04,1.076524318e-02,1.076524318e-02,6.311927410e-03,2.118816331e-03,4.117557150e-03,3.014752083e-03
