row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Loss_R,Loss_C,Loss_M,Loss_S,Loss_T,Loss_E
1,2019-04-21 01:21:37.041120,0.000002146,14039,1.000000000e-05,1.121768570e-02,4.562981892e-03,2.715399209e-03,2.541501104e-04,1.943620329e-04,3.564210213e-03,7.827778673e-03
2,2019-04-21 01:21:51.275357,14.234338045,14049,1.000000000e-05,2.126436620e-02,8.706191089e-03,5.071249988e-03,4.597498439e-04,5.165936636e-04,6.028629350e-03,1.488190107e-02
3,2019-04-21 01:22:05.561072,14.285676956,14059,1.000000000e-05,2.389433365e-02,9.709931700e-03,5.679555819e-03,3.937944930e-04,5.934633009e-04,6.985417334e-03,1.693093302e-02
4,2019-04-21 01:22:19.873697,14.312593460,14069,1.000000000e-05,2.175919013e-02,8.881097799e-03,5.277325446e-03,4.752989669e-04,5.762963090e-04,6.736066286e-03,1.510647507e-02
5,2019-04-21 01:22:34.189174,14.315535069,14079,1.000000000e-05,2.730010320e-02,1.114836116e-02,6.363981962e-03,5.198056650e-04,6.660579966e-04,7.537465938e-03,1.947155911e-02
6,2019-04-21 01:22:48.526578,14.337390900,14089,1.000000000e-05,2.730113817e-02,1.117636538e-02,6.466268259e-03,4.274078630e-04,6.898193693e-04,7.048864360e-03,1.923152655e-02
7,2019-04-21 01:23:02.894753,14.368197918,14099,1.000000000e-05,2.644777056e-02,1.108369734e-02,6.259523961e-03,4.040302476e-04,7.214904268e-04,5.313970835e-03,1.812829161e-02
8,2019-04-21 01:23:17.258928,14.364103794,14109,1.000000000e-05,2.177620698e-02,8.932874631e-03,5.083956919e-03,3.898867581e-04,5.049664964e-04,5.044099712e-03,1.544077341e-02
9,2019-04-21 01:23:31.611696,14.352728605,14119,1.000000000e-05,2.415168080e-02,1.000423888e-02,5.633388506e-03,4.151308778e-04,5.352081265e-04,5.342376605e-03,1.694508065e-02
10,2019-04-21 01:23:45.981664,14.369983435,14129,1.000000000e-05,2.445412455e-02,1.002108459e-02,5.593965063e-03,4.559255496e-04,6.610657350e-04,4.860842484e-03,1.758696595e-02
11,2019-04-21 01:24:00.408572,14.426902771,14139,1.000000000e-05,2.157038180e-02,8.914707834e-03,4.890726972e-03,3.195300509e-04,3.723334419e-04,3.901827708e-03,1.546598766e-02
12,2019-04-21 01:24:14.848132,14.439568043,14149,1.000000000e-05,2.260284973e-02,9.363511601e-03,5.250646058e-03,4.327588133e-04,6.288246041e-04,4.450216144e-03,1.589083206e-02
13,2019-04-21 01:24:29.290686,14.442559242,14159,1.000000000e-05,2.087782724e-02,8.774766000e-03,4.775302391e-03,2.290170327e-04,3.692155500e-04,3.882783465e-03,1.460971367e-02
14,2019-04-21 01:24:43.711397,14.420789242,14169,1.000000000e-05,2.555790786e-02,1.066519790e-02,5.887384992e-03,3.655398279e-04,5.918481940e-04,4.832516052e-03,1.793754194e-02
15,2019-04-21 01:24:58.141220,14.429760933,14179,1.000000000e-05,2.535569109e-02,1.049282528e-02,5.757114524e-03,4.835645654e-04,5.903441473e-04,4.474178283e-03,1.811479125e-02
16,2019-04-21 01:25:12.632717,14.491421938,14189,1.000000000e-05,2.304051258e-02,9.656917583e-03,5.291449232e-03,3.923957476e-04,5.314504728e-04,3.727372468e-03,1.610581353e-02
17,2019-04-21 01:25:27.092389,14.459684134,14199,1.000000000e-05,2.841509674e-02,1.193982558e-02,6.585698249e-03,2.880731627e-04,5.517067708e-04,4.416440439e-03,1.972153187e-02
18,2019-04-21 01:25:41.553218,14.460861683,14209,1.000000000e-05,2.758790497e-02,1.153587615e-02,6.449282891e-03,3.417189582e-04,5.892694666e-04,4.260576190e-03,1.913714828e-02
19,2019-04-21 01:25:56.021407,14.468124628,14219,1.000000000e-05,3.305747276e-02,1.425399864e-02,7.771084760e-03,4.449111017e-04,7.063796336e-04,4.714739160e-03,2.197579732e-02
20,2019-04-21 01:26:10.480191,14.458843708,14229,1.000000000e-05,2.156347036e-02,8.940571221e-03,4.905270739e-03,3.389448917e-04,5.863806029e-04,3.722451720e-03,1.536746835e-02
21,2019-04-21 01:26:24.975426,14.495209932,14239,1.000000000e-05,2.795720883e-02,1.206329805e-02,6.630802620e-03,2.601568267e-04,6.023957074e-04,3.700843127e-03,1.847418463e-02
22,2019-04-21 01:26:39.453177,14.477737904,14249,1.000000000e-05,2.648145277e-02,1.118582762e-02,5.900711776e-03,3.204482273e-04,4.449700034e-04,3.862456884e-03,1.872573681e-02
23,2019-04-21 01:26:53.914229,14.461136818,14259,1.000000000e-05,2.789396094e-02,1.180189522e-02,6.515497714e-03,3.915834735e-04,6.392664131e-04,3.990821471e-03,1.907481840e-02
24,2019-04-21 01:27:08.373063,14.458724737,14269,1.000000000e-05,2.582623269e-02,1.101081367e-02,5.888054683e-03,3.243318541e-04,5.133481580e-04,3.823053394e-03,1.778986370e-02
25,2019-04-21 01:27:22.835702,14.462703943,14279,1.000000000e-05,2.521202639e-02,1.075289482e-02,5.862412625e-03,3.761841130e-04,6.470914552e-04,3.491840162e-03,1.711820066e-02
26,2019-04-21 01:27:37.342862,14.507070303,14289,1.000000000e-05,2.798599843e-02,1.187197817e-02,6.509372639e-03,4.053503595e-04,6.562393362e-04,3.926545614e-03,1.912822481e-02
27,2019-04-21 01:27:51.809692,14.466900110,14299,1.000000000e-05,2.393959248e-02,1.021616533e-02,5.599797959e-03,3.155662285e-04,5.631865235e-04,3.355871281e-03,1.618414605e-02
28,2019-04-21 01:28:06.285828,14.476068497,14309,1.000000000e-05,2.487904113e-02,1.055231150e-02,5.865653837e-03,3.366110293e-04,6.451536668e-04,3.267797898e-03,1.685482906e-02
29,2019-04-21 01:28:20.759827,14.474143267,14319,1.000000000e-05,2.347771972e-02,9.979785793e-03,5.333078373e-03,3.836555261e-04,6.859188987e-04,3.377009812e-03,1.625297917e-02
30,2019-04-21 01:28:35.268438,14.508460045,14329,1.000000000e-05,2.390556317e-02,1.020794748e-02,5.564651615e-03,3.029725602e-04,6.161155266e-04,3.007474425e-03,1.620533355e-02
31,2019-04-21 01:28:49.760790,14.492367744,14339,1.000000000e-05,2.752310708e-02,1.181467986e-02,6.481386954e-03,2.596200007e-04,5.795127800e-04,3.595161764e-03,1.840215586e-02
