row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
1,2019-04-15 03:19:18.421974,0.000029087,9,1.000000000e-04,2.604798255e-02,2.604798255e-02,2.666635197e-02,6.228911057e-02
2,2019-04-15 03:19:32.306141,13.884270668,19,1.000000000e-04,2.033744836e-02,2.033744836e-02,2.065934781e-02,1.793825477e-02
3,2019-04-15 03:19:46.258933,13.952750683,29,1.000000000e-04,1.673659235e-02,1.673659235e-02,1.548310900e-02,6.884566322e-03
4,2019-04-15 03:20:00.260240,14.001286745,39,1.000000000e-04,1.517106006e-02,1.517106006e-02,1.285726130e-02,3.294789954e-03
5,2019-04-15 03:20:14.287055,14.026839018,49,1.000000000e-04,1.484566173e-02,1.484566173e-02,1.147098001e-02,2.548782493e-03
6,2019-04-15 03:20:28.342362,14.055281639,59,1.000000000e-04,1.547781350e-02,1.547781350e-02,1.056844578e-02,2.080023300e-03
7,2019-04-15 03:20:42.391519,14.049138069,69,1.000000000e-04,1.229742728e-02,1.229742728e-02,8.857337618e-03,2.570767235e-03
8,2019-04-15 03:20:56.430880,14.039408445,79,1.000000000e-04,1.423887433e-02,1.423887433e-02,9.773273626e-03,2.175875416e-03
9,2019-04-15 03:21:10.484854,14.053848505,89,1.000000000e-04,1.053578355e-02,1.053578355e-02,7.478640787e-03,1.654178731e-03
10,2019-04-15 03:21:24.596495,14.111739635,99,1.000000000e-04,1.284428802e-02,1.284428802e-02,8.293282799e-03,1.598322991e-03
11,2019-04-15 03:21:38.656033,14.059510946,109,1.000000000e-04,1.189367212e-02,1.189367212e-02,7.893541688e-03,1.166235283e-03
12,2019-04-15 03:21:52.743569,14.087562799,119,1.000000000e-04,1.105333804e-02,1.105333804e-02,7.093058480e-03,8.915499056e-04
13,2019-04-15 03:22:06.856841,14.113235235,129,1.000000000e-04,1.050217659e-02,1.050217659e-02,6.403666269e-03,8.021548361e-04
