row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...,Stable_Motion_Loss,Temporal_Regulari...
1,2019-04-19 17:24:08.499691,0.000003815,14039,1.000000000e-05,7.304445235e-03,4.564686795e-03,2.714124066e-03,2.563437913e-04,1.909506769e-04,3.557725064e-03
2,2019-04-19 17:24:22.924986,14.425390482,14049,1.000000000e-05,1.381925829e-02,8.703011181e-03,5.069529766e-03,4.671717616e-04,5.053202614e-04,6.056806887e-03
3,2019-04-19 17:24:37.310118,14.385113716,14059,1.000000000e-05,1.546111247e-02,9.721056209e-03,5.699072708e-03,4.098338526e-04,5.749077740e-04,7.044835761e-03
4,2019-04-19 17:24:51.730826,14.420692921,14069,1.000000000e-05,1.420332612e-02,8.878943278e-03,5.276402994e-03,4.797991176e-04,5.386129938e-04,6.814017356e-03
5,2019-04-19 17:25:06.176167,14.445348501,14079,1.000000000e-05,1.754847979e-02,1.113689272e-02,6.359438738e-03,5.214835677e-04,6.254599590e-04,7.620697422e-03
6,2019-04-19 17:25:20.652888,14.476705313,14089,1.000000000e-05,1.768453065e-02,1.117983349e-02,6.462974777e-03,4.172237299e-04,6.067492024e-04,7.205166179e-03
7,2019-04-19 17:25:35.156801,14.503883362,14099,1.000000000e-05,1.735973684e-02,1.105648004e-02,6.263899314e-03,3.935747925e-04,6.760832213e-04,5.501784012e-03
8,2019-04-19 17:25:49.603879,14.447128296,14109,1.000000000e-05,1.406236188e-02,8.940062951e-03,5.082180002e-03,4.011894314e-04,4.421048783e-04,5.257876916e-03
9,2019-04-19 17:26:04.215569,14.611659527,14119,1.000000000e-05,1.566671981e-02,9.988119453e-03,5.633889046e-03,4.471117616e-04,5.052437657e-04,5.651943851e-03
10,2019-04-19 17:26:18.749956,14.534365892,14129,1.000000000e-05,1.566118943e-02,1.001588176e-02,5.598329287e-03,4.697830736e-04,5.783306711e-04,5.238810228e-03
11,2019-04-19 17:26:33.250080,14.500156641,14139,1.000000000e-05,1.380751668e-02,8.897784119e-03,4.878153349e-03,3.157913845e-04,3.155337326e-04,4.226562195e-03
12,2019-04-19 17:26:47.746771,14.496630907,14149,1.000000000e-05,1.460377122e-02,9.321184386e-03,5.244020699e-03,3.856625539e-04,5.734872535e-04,4.786387552e-03
13,2019-04-19 17:27:02.310294,14.563565731,14159,1.000000000e-05,1.349307578e-02,8.725506160e-03,4.743498890e-03,2.407048749e-04,3.003646925e-04,4.235490598e-03
14,2019-04-19 17:27:16.837500,14.527209759,14169,1.000000000e-05,1.657658573e-02,1.064521954e-02,5.900741089e-03,3.062486750e-04,5.511957599e-04,5.305847619e-03
15,2019-04-19 17:27:31.380075,14.542578220,14179,1.000000000e-05,1.621790281e-02,1.043070336e-02,5.753724230e-03,3.347494669e-04,3.477837570e-04,5.013790843e-03
16,2019-04-19 17:27:45.973953,14.593757391,14189,1.000000000e-05,1.492123967e-02,9.614086943e-03,5.278348620e-03,2.880380351e-04,4.250489452e-04,4.205185245e-03
17,2019-04-19 17:28:00.528151,14.554219961,14199,1.000000000e-05,1.850957377e-02,1.187695269e-02,6.607232732e-03,2.538829984e-04,4.274243402e-04,4.980826355e-03
18,2019-04-19 17:28:15.042773,14.514723063,14209,1.000000000e-05,1.794814635e-02,1.145556103e-02,6.462883484e-03,2.970163972e-04,5.670535873e-04,4.973570188e-03
19,2019-04-19 17:28:29.651170,14.608271599,14219,1.000000000e-05,2.194823623e-02,1.414329018e-02,7.766545773e-03,3.840052988e-04,5.839773657e-04,5.537751806e-03
20,2019-04-19 17:28:44.289827,14.638744593,14229,1.000000000e-05,1.386122182e-02,8.923435863e-03,4.913301882e-03,2.448397317e-04,4.988144676e-04,4.410417192e-03
21,2019-04-19 17:28:58.857935,14.568097115,14239,1.000000000e-05,1.868971204e-02,1.199634215e-02,6.669727806e-03,2.364229033e-04,5.417705135e-04,4.451580578e-03
22,2019-04-19 17:29:13.472230,14.614340782,14249,1.000000000e-05,1.707276190e-02,1.110650813e-02,5.939146993e-03,2.710683708e-04,4.344227142e-04,4.771462502e-03
23,2019-04-19 17:29:28.118739,14.646405697,14259,1.000000000e-05,1.828422742e-02,1.172017120e-02,6.538523128e-03,2.553339240e-04,4.747655650e-04,4.772927566e-03
24,2019-04-19 17:29:42.644116,14.525370598,14269,1.000000000e-05,1.686626631e-02,1.098057474e-02,5.864616390e-03,2.107550637e-04,3.665171826e-04,4.681897024e-03
25,2019-04-19 17:29:57.181870,14.537761450,14279,1.000000000e-05,1.657323902e-02,1.067878413e-02,5.872656987e-03,2.179801944e-04,4.462033976e-04,4.352606088e-03
26,2019-04-19 17:30:11.844040,14.662220955,14289,1.000000000e-05,1.835037265e-02,1.180101605e-02,6.527283089e-03,2.207325277e-04,4.506368103e-04,4.818827170e-03
27,2019-04-19 17:30:26.443390,14.599291801,14299,1.000000000e-05,1.583875110e-02,1.018448039e-02,5.629472458e-03,2.479793642e-04,4.588214171e-04,4.266099725e-03
28,2019-04-19 17:30:41.009769,14.566451550,14309,1.000000000e-05,1.640851274e-02,1.051350795e-02,5.874506780e-03,2.049796931e-04,4.675906413e-04,4.163141735e-03
29,2019-04-19 17:30:55.613524,14.603664160,14319,1.000000000e-05,1.531583453e-02,9.940616554e-03,5.347292451e-03,2.792584899e-04,5.491596850e-04,4.241701285e-03
30,2019-04-19 17:31:10.167502,14.554022074,14329,1.000000000e-05,1.574686193e-02,1.017375393e-02,5.548464460e-03,2.464352670e-04,4.389701739e-04,3.738611145e-03
31,2019-04-19 17:31:24.771538,14.604016542,14339,1.000000000e-05,1.828414705e-02,1.176412497e-02,6.495858356e-03,2.416391340e-04,4.445048748e-04,4.543039505e-03
32,2019-04-19 17:31:39.298175,14.526593924,14349,1.000000000e-05,1.643051319e-02,1.061775708e-02,5.779645569e-03,3.311010805e-04,5.736997540e-04,3.995684022e-03
33,2019-04-19 17:31:53.884682,14.586524487,14359,1.000000000e-05,1.364800306e-02,8.860583138e-03,4.770817235e-03,1.660273389e-04,2.940719554e-04,2.751437016e-03
34,2019-04-19 17:32:08.413532,14.528840542,14369,1.000000000e-05,1.607717527e-02,1.050620195e-02,5.550859030e-03,2.011409000e-04,3.316065515e-04,3.589593107e-03
35,2019-04-19 17:32:22.923672,14.510285854,14379,1.000000000e-05,1.386671225e-02,8.964506676e-03,4.881586321e-03,2.061896179e-04,4.495882924e-04,3.074127762e-03
36,2019-04-19 17:32:37.539487,14.615692377,14389,1.000000000e-05,1.476772716e-02,9.571138630e-03,5.169534171e-03,2.705427032e-04,4.643297536e-04,3.342351574e-03
