index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val,strategy,coef_loss_e,coef_loss_t,coef_loss_m,s1_epochs,max_epochs,model_description
33,1721,2019-04-22T082112,28069.0,0.9673053620000001,29.999403000000004,0.9725618359999999,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
34,3431,2019-04-20T012234,28069.0,0.9978480340000001,44.62429047,0.999579728,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
35,401,2019-04-18T164451,14034.0,0.9558859470000001,33.91760254,0.982792675,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
36,1231,2019-04-20T151155,28069.0,0.9938429,44.54373169,0.998507798,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
37,1901,2019-04-17T191452,0.0,0.9095851779999999,25.56012726,0.902966797,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
38,2391,2019-04-18T233637,14034.0,0.992143929,40.66802597,0.998006999,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
39,451,2019-04-23T141504,14034.0,0.9949395059999999,40.1513443,0.999083519,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
40,131,2019-04-23T141504,14034.0,0.888620794,25.15275192,0.933812082,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
41,591,2019-04-18T233637,14034.0,0.996345699,46.94178772,0.99916333,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
42,1211,2019-04-20T151155,28069.0,0.643669784,22.99495316,0.800158501,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
43,3271,2019-04-17T191452,0.0,0.942409217,32.52414703,0.985714912,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
44,771,2019-04-17T191452,0.0,0.877591193,25.74183273,0.9200317259999999,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
45,3131,2019-04-19T174028,14034.0,0.8904239540000001,25.85922241,0.9394598009999999,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
46,581,2019-04-19T174028,14034.0,0.988460243,38.21310806,0.9970877770000001,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
