index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val
0,1271,2019-04-17T191452,0,0.938539326,29.6569519,0.962247849
1,1931,2019-04-22T082112,28069,0.92739743,30.3189621,0.982718885
2,1241,2019-04-18T233637,14034,0.978295028,31.72447395,0.989661872
3,2701,2019-04-19T174028,14034,0.992421329,40.71229172,0.99861002
4,1151,2019-04-20T012234,28069,0.938218892,31.64333916,0.96563369
5,1061,2019-04-21T092001,28069,0.937126637,30.09669304,0.982713997
6,111,2019-04-18T233637,14034,0.963720143,35.80413437,0.986580372
7,2941,2019-04-22T082112,28069,0.993042648,42.16107941,0.998618543
8,631,2019-04-23T083858,14034,0.982510805,39.77784348,0.994853735
9,251,2019-04-20T215827,28069,0.993156433,40.96395874,0.998710454
10,711,2019-04-19T174028,14034,0.935514987,30.55767822,0.968831837
11,1741,2019-04-21T092001,28069,0.959409058,34.96815872,0.966765344
12,671,2019-04-22T082112,28069,0.859623134,23.2273159,0.848669946
13,841,2019-04-21T224636,28069,0.922407091,32.00435638,0.974024594
14,2711,2019-04-21T224636,28069,0.992876351,47.85569763,0.998066485
15,2491,2019-04-20T151155,28069,0.973868072,34.50003433,0.990302145
16,1221,2019-04-21T224636,28069,0.863001347,27.24746704,0.928523839
17,2821,2019-04-22T082112,28069,0.984607637,44.20824814,0.992522895
18,3361,2019-04-23T083858,14034,0.970637023,32.77853012,0.977198899
19,1021,2019-04-18T164451,14034,0.939252615,28.03240013,0.974866629
20,1671,2019-04-20T151155,28069,0.954266489,33.62119293,0.983265102
21,2521,2019-04-18T164451,14034,0.962271869,32.46565247,0.985508263
22,3101,2019-04-18T233637,14034,0.903949738,30.33196449,0.943437636
23,3751,2019-04-19T174028,14034,0.972038925,30.85868073,0.990197957
24,1131,2019-04-19T174028,14034,0.856934726,27.79228401,0.963126481
25,571,2019-04-20T012234,28069,0.981615126,33.03794479,0.995880187
26,1421,2019-04-20T151155,28069,0.979752064,35.08948517,0.995984554
27,3571,2019-04-20T012234,28069,0.927369833,28.99722099,0.969572842
28,841,2019-04-23T083858,14034,0.92334193,32.08623886,0.97412008
29,351,2019-04-23T141504,14034,0.96523279,31.19073486,0.99169594
30,2131,2019-04-21T092001,28069,0.991711617,38.33788681,0.99757272
31,1721,2019-04-18T233637,14034,0.970876992,30.48064995,0.974394977
32,3331,2019-04-18T233637,14034,0.723896027,22.10181236,0.904995501
33,1721,2019-04-22T082112,28069,0.967305362,29.999403,0.972561836
34,3431,2019-04-20T012234,28069,0.997848034,44.62429047,0.999579728
35,401,2019-04-18T164451,14034,0.955885947,33.91760254,0.982792675
36,1231,2019-04-20T151155,28069,0.9938429,44.54373169,0.998507798
37,1901,2019-04-17T191452,0,0.909585178,25.56012726,0.902966797
38,2391,2019-04-18T233637,14034,0.992143929,40.66802597,0.998006999
39,451,2019-04-23T141504,14034,0.994939506,40.1513443,0.999083519
40,131,2019-04-23T141504,14034,0.888620794,25.15275192,0.933812082
41,591,2019-04-18T233637,14034,0.996345699,46.94178772,0.99916333
42,1211,2019-04-20T151155,28069,0.643669784,22.99495316,0.800158501
43,3271,2019-04-17T191452,0,0.942409217,32.52414703,0.985714912
44,771,2019-04-17T191452,0,0.877591193,25.74183273,0.920031726
45,3131,2019-04-19T174028,14034,0.890423954,25.85922241,0.939459801
46,581,2019-04-19T174028,14034,0.988460243,38.21310806,0.997087777
47,2031,2019-04-23T083858,14034,0.976067305,36.00850677,0.994948685
48,1311,2019-04-21T092001,28069,0.981859982,38.57426834,0.995660722
49,911,2019-04-18T233637,14034,0.945049822,32.53810883,0.987456083
50,811,2019-04-22T082112,28069,0.963932097,35.95598221,0.990504801
51,1651,2019-04-21T092001,28069,0.938074887,28.08715248,0.972540677
52,631,2019-04-23T141504,14034,0.983007669,39.91889954,0.995134354
53,351,2019-04-21T092001,28069,0.965873063,31.31648636,0.991675377
54,1111,2019-04-20T215827,28069,0.991008222,44.71260834,0.998008251
55,411,2019-04-22T082112,28069,0.570899189,21.30340576,0.753794372
56,3081,2019-04-22T082112,28069,0.67557025,18.23249054,0.560728312
57,2981,2019-04-20T151155,28069,0.990904033,42.73142624,0.997903109
58,331,2019-04-20T012234,28069,0.96798116,33.27592087,0.992662609
59,3511,ours.png,,0.894508183,25.2488308,0.968630791
60,111,2019-04-17T191452,0,0.95549053,33.70726395,0.98153621
61,181,2019-04-20T012234,28069,0.99725312,46.7003212,0.999401867
62,1771,2019-04-18T233637,14034,0.957039654,31.57676506,0.971465409
63,961,2019-04-22T082112,28069,0.993673563,45.60828781,0.998423576
64,3481,2019-04-21T092001,28069,0.975314796,37.7711525,0.993341446
65,2041,2019-04-23T141504,14034,0.988150179,38.3219986,0.996247232
66,3071,2019-04-21T092001,28069,0.941256583,33.89633179,0.965414524
67,1891,2019-04-21T092001,28069,0.930436373,26.74017143,0.971678436
68,2541,ours.png,,0.979624271,39.18426514,0.994794667
69,3121,2019-04-20T215827,28069,0.997563183,45.75073242,0.999279439
70,951,2019-04-17T191452,0,0.916573226,28.57401657,0.95880419
71,1161,2019-04-23T083858,14034,0.94998312,30.82691193,0.980591953
72,3781,2019-04-18T164451,14034,0.984418392,34.83573532,0.993905306
73,11,2019-04-17T191452,0,0.860851526,25.71188736,0.911948144
74,1,2019-04-22T082112,28069,0.965267658,29.20359993,0.984012187
75,1,2019-04-23T141504,14034,0.965307176,29.21300316,0.984196007
76,2671,2019-04-17T191452,0,0.81984216,23.27234459,0.905985117
77,3001,2019-04-20T012234,28069,0.901991069,28.24185562,0.964090407
78,1761,2019-04-21T092001,28069,0.939119816,30.56570625,0.964895427
79,2171,2019-04-18T164451,14034,0.928898275,29.70935059,0.979643345
80,3201,2019-04-20T215827,28069,0.986349761,38.25446701,0.997927248
81,821,2019-04-23T083858,14034,0.969495356,34.70449066,0.991164923
82,3221,2019-04-21T092001,28069,0.980857849,36.35007477,0.994781017
83,3311,2019-04-20T012234,28069,0.906864643,27.62143898,0.960872114
84,591,2019-04-19T174028,14034,0.990530014,42.1721077,0.998314083
